run_id,task_id,task_family,task_source,human_source,score_binarized,score_cont,human_minutes,started_at,completed_at,minutes_floored,delta_task,minutes_derived,derivation
0,acdc_bug/fix_checkpointing,acdc_bug,HCAST,baseline,0,0.0,877.018,0.0,1020000.0,17.0,0.018000000000228583,17.018000000000228,delta_imputed_failure
1,acdc_bug/fix_checkpointing,acdc_bug,HCAST,baseline,0,0.0,877.018,0.0,8700000.0,145.0,0.018000000000228583,145.01800000000023,delta_imputed_failure
2,acdc_bug/fix_checkpointing,acdc_bug,HCAST,baseline,0,0.0,877.018,0.0,14340000.0,239.0,0.018000000000228583,239.01800000000023,delta_imputed_failure
3,acdc_bug/fix_checkpointing,acdc_bug,HCAST,baseline,0,0.0,877.018,0.0,27600000.0,460.0,0.018000000000228583,460.01800000000026,delta_imputed_failure
4,acdc_bug/fix_checkpointing,acdc_bug,HCAST,baseline,1,1.0,877.018,0.0,52620000.0,877.0,0.018000000000228583,877.0180000000003,delta_corrected
15,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.6407736253,455.249,0.0,14340000.0,239.0,,239.0,uncorrected_rebench
16,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,1,1.0,455.249,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
17,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.6612314082,455.249,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
18,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.8975645560000001,455.249,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
19,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,1,1.0,455.249,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
20,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,9.69318e-05,455.249,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
21,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.9901217046,455.249,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
22,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.7351336418000001,455.249,0.0,28800000.0,480.0,,480.0,uncorrected_rebench
23,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,1,1.0,455.249,0.0,28800000.0,480.0,,480.0,uncorrected_rebench
24,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,1,1.0,455.249,0.0,28800000.0,480.0,,480.0,uncorrected_rebench
25,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.5831281660000001,455.249,0.0,28800000.0,480.0,,480.0,uncorrected_rebench
26,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,1,1.0,455.249,0.0,28920000.0,482.0,,482.0,uncorrected_rebench
27,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.8814259179,455.249,0.0,29880000.0,498.0,,498.0,uncorrected_rebench
28,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.6747984496,455.249,0.0,34800000.0,580.0,,580.0,uncorrected_rebench
29,ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,1,1.0,455.249,0.0,491460000.0,8191.0,,8191.0,uncorrected_rebench
30,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,0.0,27840000.0,464.0,,464.0,uncorrected_rebench
31,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,0.0,28260000.0,471.0,,471.0,uncorrected_rebench
32,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,0,0.4788034188,480.0,0.0,28260000.0,471.0,,471.0,uncorrected_rebench
33,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
34,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,0,0.918974359,480.0,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
35,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
36,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
37,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
38,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,0,0.0,480.0,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
39,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
40,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,0,0.4376068376,480.0,0.0,28740000.0,479.0,,479.0,uncorrected_rebench
41,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,0,0.5258119658,480.0,0.0,29040000.0,484.0,,484.0,uncorrected_rebench
42,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,0.9531623932000001,480.0,0.0,78060000.0,1301.0,,1301.0,uncorrected_rebench
43,ai_rd_optimize_llm_foundry/main,ai_rd_optimize_llm_foundry,RE-Bench,baseline,0,0.12661923120000002,483.331,0.0,14340000.0,239.0,,239.0,uncorrected_rebench
